axis,doi_or_url,year,source_type,first_author_or_tool,fitting_software,uncertainty_reported,comparison_method,domain,notes
03_prior_art,10.1016/j.jtbi.2017.07.018,2017,prior_art,Eisenberg MC,,,,foundational,Simulation study of identifiability and confidence-region coverage for biological-ODE fits; shows how unidentifiability inflates intervals.
03_prior_art,10.1371/journal.pone.0210953,2019,prior_art,Ren X,,,,foundational,Algorithm for profile-likelihood CIs in nonlinear dose-response (structurally similar to growth) with simulation-based coverage check.
03_prior_art,10.1111/j.0006-341X.2000.01204.x,2000,prior_art,Bellio R,,,,foundational,Classic reference for higher-order likelihood (Skovgaard/modified profile) CIs in nonlinear regression including dose-response curves — methodological backbone for any small-sample nonlinear CI work.
03_prior_art,ISBN:978-0471617600,1989,prior_art,Seber GAF,,,,foundational,"The standard textbook reference for inference in nonlinear regression including linearisation Wald intervals, likelihood-based intervals, and curvature diagnostics."
03_prior_art,ISBN:978-0471816430,1988,prior_art,Bates DM,,,,foundational,"Standard textbook covering intrinsic/parameter-effects curvature, profile traces, and the bias of Wald CIs in nonlinear regression — direct intellectual ancestor of any growth-curve CI critique."
03_prior_art,ISBN:978-0521847032,2007,prior_art,Brazzale AR,,,,foundational,Definitive case-study treatment of higher-order asymptotic CIs in nonlinear and non-Gaussian models including nlreg software — relevant to small-sample growth-curve fits.
03_prior_art,10.1007/s11222-016-9696-4,2017,prior_art,Vehtari A,,,,foundational,Foundational PSIS-LOO paper introducing fast and stable Bayesian model evaluation with importance-weight diagnostics; essential citation for any modern Bayesian inference workflow.
03_prior_art,arXiv:1507.02646,2024,prior_art,Vehtari A,,,,foundational,Technical foundation of PSIS — generalized-Pareto tail fitting to stabilize importance weights with k-hat diagnostic for unreliable weights.
03_prior_art,arXiv:1804.06788,2018,prior_art,Talts S,,,,foundational,Defines SBC: rank statistics under data simulated from the prior should be uniform if the posterior sampler is correctly calibrated — the canonical way to detect mis-calibration of Bayesian intervals.
03_prior_art,10.1098/rsta.2011.0541,2012,prior_art,Hoff P,,,,foundational,Constructs Bayesian posteriors that target the pseudo-true parameter under model misspecification with asymptotic frequentist coverage — directly relevant theoretical backdrop for our misspec results.
03_prior_art,arXiv:1612.03257,2019,prior_art,Buja A,,,,foundational,Develops a model-free theory of parametric regression under misspecification including sandwich variance estimators — frequentist counterpart to the Hoff-Wakefield Bayesian sandwich.
03_prior_art,arXiv:1910.09227,2019,prior_art,de Heide R,,,,foundational,Establishes safe-Bayes (learning-rate-tempered) posteriors that concentrate around the KL-projection under misspecification — foundational generalised-Bayes reference.
03_prior_art,arXiv:1605.00252,2016,prior_art,Grünwald PD,,,,foundational,Theoretical convergence rates for generalised Bayes under misspecification across loss functions; underpins the safe-Bayes coverage story.
03_prior_art,arXiv:2107.01688,2021,prior_art,Wu P-S,,,,supporting,Generalised predictive calibration algorithm that tunes the learning rate so credible intervals achieve nominal coverage under misspecification.
03_prior_art,arXiv:2012.11349,2020,prior_art,Wu P-S,,,,supporting,Benchmarks learning-rate tuning methods for safe-Bayes using coverage probability as a primary metric — exactly the kind of calibration diagnostic we use.
03_prior_art,arXiv:1807.00263,2018,prior_art,Kuleshov V,,,,tangential,Post-hoc isotonic calibration of regression credible intervals to nominal coverage — a recalibration approach broadly relevant to our misspecification fix.
03_prior_art,arXiv:2502.03279,2025,prior_art,Säilynoja T,,,,supporting,Extends SBC to validate posterior inference conditional on the observed data — directly applicable to ODE-/growth-curve calibration checks.
03_prior_art,arXiv:2211.02383,2022,prior_art,Modrák M,,,,supporting,Refines SBC by using data-dependent test quantities; increases sensitivity to subtle miscalibration relevant to nonlinear/ODE fits.
03_prior_art,arXiv:1902.06281,2019,prior_art,Bürkner P-C,,,,supporting,PSIS-based approximate LFO-CV for time-series models — directly applicable to evaluating Bayesian growth-curve predictive performance.
03_prior_art,arXiv:1704.02030,2017,prior_art,Yao Y,,,,supporting,"Bayesian model stacking under M-open (i.e., misspecified) settings using PSIS weights; addresses misspecification by averaging rather than picking one model."
03_prior_art,arXiv:2210.06921,2022,prior_art,Baek Y,,,,supporting,Gibbs/safe-Bayes posterior framework for PDE-based inverse problems with model misspecification — methodologically analogous to misspecified ODE growth fits.
03_prior_art,arXiv:1211.0087,2012,prior_art,Hoff P,,,,foundational,Bayesian posteriors that are asymptotically calibrated to the pseudo-true parameter under misspecification — theoretical justification for sandwich-style adjustments to Bayesian CIs.
03_prior_art,10.4315/0362-028X.JFP-12-424,2013,prior_art,Schaffner DW,,,,tangential,Risk-management application of predictive-microbiology models; demonstrates use but not statistical calibration.
03_prior_art,10.1186/1471-2105-14-S10-S7,2013,prior_art,Hock S,,,,supporting,Profile-likelihood-based parameter identifiability and CI construction for biological diffusion models — methodological cousin to growth-curve fits.
03_prior_art,10.3389/fmolb.2022.800856,2022,prior_art,Litwin T,,,,supporting,Uses 2D profile-likelihoods for OED in ODE models; closely related toolkit to ours.
03_prior_art,10.1371/journal.pcbi.1008495,2020,prior_art,Borisov I,,,,supporting,Software-focused implementation of profile-likelihood CIs for systems-biology ODE models with explicit identifiability handling.
04_claims,10.1111/eva.12196,2015,comparative_claim,Melnyk,,95% CI on aggregate mean fitness,"random-effects meta-analysis (metagen, R::meta)",D2_evolution,"Mean relative fitness of antibiotic resistance mutations across 128 studies = 0.880 (significantly < 1, z=129.3, p<0.0001); Gram-positive mean = 0.822 vs Gram-negative 0.973 (t=-5.19, p<0.0001). Paper"
04_claims,10.1021/acsinfecdis.3c00156,2023,comparative_claim,Chowdhury,,SEM (N=16) — no CI on fitted parameters,two-sample t-tests with unequal variances,D1_drug_resistance,OM (omadacycline-resistant E. coli) shows AUC of growth curve ~8x lower than WT; resistant strain reaches stationary density ~5-fold below WT; fitness-recovery evolved line (5X) shows AUC ~5x above OM
04_claims,10.7554/eLife.93520,2024,comparative_claim,Hitomi,,standard errors from N=4-6 biological reps,Mann-Whitney U,D2_evolution,Eight of nine experimentally evolved E. coli lines from a genome-reduced ancestor showed 'highly significant' growth-rate improvement; 'primarily decreased growth rate caused by genome reduction was s
04_claims,10.3390/foods10051099,2021,comparative_claim,Pennone,,95% CI from nonlinear mixed-effects (nlme),one-way ANOVA + Tukey HSD; mixed-effects omnibus model,D4_predictive_micro,L. monocytogenes growth rate at 12°C: μ_max = 0.1126 (95% CI 0.1049-0.1480) h⁻¹ for strain 954; at 4.5°C: 0.0410 (95% CI 0.0364-0.0459) h⁻¹. Authors stress that omnibus (mixed-effects) modelling produ
04_claims,10.4315/0362-028X.JFP-14-428,2015,comparative_claim,Luo,,"relative error, standard error of prediction",primary Baranyi fit + secondary models (Ratkowsky / Davey),D4_predictive_micro,Baranyi-fit μ_max and lag time of L. monocytogenes on fresh pork modelled vs storage temperature 5-35°C; secondary models drive shelf-life recommendations. Relative-error proportions of 0.79 (SGR) and
04_claims,10.3389/fmicb.2022.758237,2022,comparative_claim,Pedreira,,"parameter ± CI in Table 4 (e.g., k_a = 15 ± 63)",max log-likelihood; AIC/BIC for model selection,D1_drug_resistance,DDAC dose-response: B. cereus μ falls from ~0.6 to ~0.4 /h between 0 and 0.5 mg/L; computed MIC = 1.39 mg/L (B. cereus) and 2.86 mg/L (E. coli). MIC drives regulatory recommendations on biocide use.
04_claims,10.1046/j.1365-2672.2000.01017.x,2000,comparative_claim,Lambert,,mentions 'more exact'; no formal CI in abstract,nonlinear LS Gompertz fit,D1_drug_resistance,Proposed method: fit modified Gompertz to OD vs antimicrobial concentration to extract MIC and NIC. Used widely in EUCAST-adjacent susceptibility testing.
04_claims,10.1186/s12859-016-1016-7,2016,comparative_claim,Sprouffske,,none (point estimates only by default),point comparison; users typically run ad-hoc t-test on replicate-level r/K,D2_evolution; D3_knockouts,"Growthcurver R package: fits logistic to OD600, returning r (intrinsic growth rate), K (carrying capacity), N0. 937 growth curves, 33 E. coli K12 strains; r and K used directly to *compare* strains. P"
04_claims,10.1186/gb-2014-15-4-r64,2014,comparative_claim,North,,SD across replicates,z-score / t-test vs WT distribution,D3_knockouts,Broad metabolic-sensitivity profiling of prototrophic yeast deletion collection — growth-rate phenotypes across 16 conditions classified as 'hit' if statistically lower than WT; thousands of mutant-co
04_claims,10.1038/s41467-021-23451-y,2021,comparative_claim,La Rosa,,95% CI via bootstrap (500 reps),power-law model + bootstrap CI; comparing per-strain trajectories,D2_evolution; D1_drug_resistance,P. aeruginosa starting strains averaged μ_max = 0.37 ± 0.03 /h; after ALE: strain 141_CP = 1.28 ± 0.02 /h; 10_CP = 1.08 ± 0.02 /h; 427.1_CP = 0.87 ± 0.02 /h. Three strains plotted as significantly dif
04_claims,10.1128/AEM.00251-06,2006,comparative_claim,Lindqvist,,95% CI on means; SD across strains,ANOVA on method and biotype; two-sample t for method comparison,D4_predictive_micro,34 S. aureus strains compared at 17°C: μ_max range 0.07-0.24 /h (mean 0.13 ± 0.05 /h); lag range 1.2-25.2 h. Strain-to-strain variation in fitted parameters used to argue for strain heterogeneity in p
04_claims,10.1590/S1517-83822010000200006,2010,comparative_claim,von Groll,,99% CI,standardization vs MGIT960 method,D1_drug_resistance,"REMA-GC method for M. tuberculosis growth kinetics: MDR isolate 06-235 had the slowest growth rate among 21 clinical isolates; lag phase 99% CI = 43-131 h, growth rate 99% CI = 18-27 h. Used to argue "
04_claims,10.1038/s41467-021-22849-y,2021,comparative_claim,Alonso-del Valle,,SE across triplicates; tests vs neutrality,t-tests vs 1.0; distribution analysis,D2_evolution; D1_drug_resistance,Variability of plasmid fitness effects across hosts: distribution of relative fitness (plasmid+ vs plasmid-) measured across ~50 enterobacterial host strains; argues plasmid persistence is explained b
04_claims,10.1038/s41467-023-38022-6,2023,comparative_claim,Hernando-Amado / Alonso-del Valle,,SE; correlation p-values,Pearson/Spearman correlation across plasmid×antibiotic combinations,D1_drug_resistance,Trade-off between lag time and growth rate drives plasmid acquisition cost; acquisition cost and lag show strong positive correlation while growth rate is uncorrelated with cost across plasmids/antibi
04_claims,10.3389/fmicb.2020.00798,2020,comparative_claim,Choi,,SD; p<0.05,"Student's t, one-way ANOVA",D1_drug_resistance,"Colistin-resistant E. coli (chromosome- vs plasmid-mediated) show no significant difference in growth rate vs susceptible parents, but competition index (CI) <1 for chromosomal mutants. Conclusion: 'n"
04_claims,10.3389/fmicb.2014.00544,2014,comparative_claim,Theophel,,SD selectively shown in figures only,descriptive — visual comparison of growth curves,D1_drug_resistance,"6 antibiotics (cefoxitin, daptomycin, fosfomycin, fusidic acid, moxifloxacin, vancomycin) show different MIC at 20h vs 48h based on kinetic growth-curve readouts; fosfomycin at 8 μg/mL gives 'consider"
04_claims,10.1371/journal.pcbi.1007066,2019,comparative_claim,Cheng,,SD across duplicates,linear regression r² and p-value,D2_evolution,E. coli ALE end-point strains: μ rises from 0.7 /h (WT) to 0.95-1.10 /h; q_glc and q_ac span 3.9-11.4 mmol/gDW/h; claims a 'two-dimensional rate-yield tradeoff' from these comparisons.
04_claims,10.1099/jmm.0.000228,2015,comparative_claim,various,,SD; p<0.05,ANOVA across primary models,D1_drug_resistance,"Studies routinely score 10-20% growth-rate reduction in rifampicin-resistant strains vs WT using Baranyi/Gompertz fits at α=0.05, supporting strain-level fitness-cost claims."
05_stakes,https://pmc.ncbi.nlm.nih.gov/articles/PMC9767744/,2022,paper,,,Cross-model discordance; the underlying tools deliver only MAP point estimates and rarely surface model-structure uncertainty to the clinician.,,clinical_PK_TDM,"Three Bayesian vancomycin PK models (Goti, Colin, Thomson) agreed on AUC-based dosing decisions in only 48% of 466 critically ill patient cases; clinicians using different models would reach divergent"
05_stakes,https://pmc.ncbi.nlm.nih.gov/articles/PMC7063976/,2020,paper,,,Showed harm pathway from biased CIs but does not propose calibrated CI fixes; recommends better data capture rather than statistical correction.,,clinical_PK_TDM,"Inaccurate documentation of infusion/sample times causes biased parameter estimates and adverse PK/PD target-attainment calculations in MIPD; a misspecified model ""falsely overestimated time above MIC"
05_stakes,https://doseme-rx.com/ ; https://www.insight-rx.com/,2024,software,,,"MAP point estimate is the primary output. Posterior uncertainty is computed internally but only partially surfaced (often as a forecast band on the concentration curve, not as a credible interval on AUC).",,clinical_PK_TDM,DoseMeRx and InsightRX Nova are the dominant commercial Bayesian TDM platforms; both use Maximum A Posteriori (MAP) Bayesian estimation as the workhorse. InsightRX exposes a prior-weighting knob (1.0 
05_stakes,https://pubmed.ncbi.nlm.nih.gov/30362592/,2018,review,,,Predictive accuracy reported as point bias; uncertainty quantification of the dosing recommendation itself is not consistently reported across programs.,,clinical_PK_TDM,Validation of 5 vancomycin Bayesian programs: accuracy ranged 0.79-1.03 and bias ranged 5.1-21.2% using only a trough; software choice materially affects AUC estimate.
05_stakes,https://pubmed.ncbi.nlm.nih.gov/37579945/,2023,paper,,,Trial reported target-attainment rates as binary outcomes; did not quantify miscalibration of the model's own credible intervals.,,clinical_PK_TDM,Prospective cohort in ICU showed Bayesian forecasting software (ID-ODS) increases probability of antibiotic target attainment vs conventional dosing.
05_stakes,https://pmc.ncbi.nlm.nih.gov/articles/PMC7289778/,2020,paper,,,Documents that standard NONMEM CIs are miscalibrated for small datasets - direct relevance to MisspecStudy.,,clinical_PK_TDM,"In pharmacometric analyses with small n, asymptotic standard errors from NONMEM covariance step are unreliable; log-likelihood profiling and SIR are recommended alternatives."
05_stakes,https://www.wright-dose.com/tip1.php ; https://ascpt.onlinelibrary.wiley.com/doi/10.1002/psp4.12422,2019,paper/review,,,"Acknowledges that the default mechanism for producing CIs in the dominant pop-PK tool routinely fails, forcing modelers to bootstrap or skip CIs.",,clinical_PK_TDM,NONMEM covariance step failure is common; failure means standard errors and confidence intervals on parameters are unavailable or unreliable.
05_stakes,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/physiologically-based-pharmacokinetic-analyses-format-and-content-guidance-industry,2018,guideline,,,Sensitivity analysis is recommended but a quantitative uncertainty bound on PBPK predictions is not strictly mandated; risk-based credibility framework being developed under ICH M15.,,clinical_PK_PBPK,"FDA PBPK Format and Content Guidance: sensitivity analysis is required for key/uncertain parameters; reviewers consistently emphasize ""pervasive uncertainty"" in PBPK submissions. Acceptance is case-by"
05_stakes,https://www.ema.europa.eu/en/reporting-physiologically-based-pharmacokinetic-pbpk-modelling-simulation-scientific-guideline,2018,guideline,,,Reporting of SEs/CIs is required but the guideline does not prescribe a particular calibration check for those CIs.,,clinical_PK_PBPK,EMA PBPK reporting guideline requires sensitivity analysis on parameters considered key or uncertain; standard errors / confidence intervals should be presented for population PK parameters.
05_stakes,https://www.fda.gov/media/155925/download,2022,guideline,,,Multiple methods accepted; no statement on which method gives best-calibrated CIs. Calibration of intervals is not directly checked at regulatory review.,,clinical_PK_popPK,"FDA Population Pharmacokinetics final guidance (Feb 2022): parameter estimates should be presented with standard errors and/or CIs; bootstrap, SIR, log-likelihood profiling, or asymptotic SEs are acce"
05_stakes,https://www.ema.europa.eu/en/reporting-results-population-pharmacokinetic-analyses-scientific-guideline,2007,guideline,,,Same uncertainty-reporting requirement; no calibration assessment built into the workflow.,,clinical_PK_popPK,EMA pop-PK reporting guideline: CIs/SEs of population parameters should be reported because they indicate precision of estimates.
05_stakes,https://database.ich.org/sites/default/files/ICH_M15_EWG_Step2_DraftGuideline_2024_1031.pdf,2024,guideline,,,"Explicit endorsement of uncertainty propagation in simulation, but no normative test on whether the credible intervals are well-calibrated under the assumed model.",,clinical_PK_MIDD,ICH M15 (draft) on Model-Informed Drug Development: simulation methods should account for parameter and assumption uncertainties; introduces risk-based credibility framework.
05_stakes,https://www.sciencedirect.com/science/article/pii/S1198743X14616402,2012,paper/methodology,,,Monte Carlo on parameter and MIC uncertainty is the propagation mechanism. Model misspecification in the population PK model would directly bias PTA estimates and hence the breakpoint.,,antimicrobial_breakpoints,EUCAST sets PK/PD breakpoints via Monte Carlo simulation incorporating population PK uncertainty and MIC distributions; the probability of target attainment (PTA) is the central decision metric. Break
05_stakes,https://www.eucast.org/ ; https://www.clinicalmicrobiologyandinfection.org/article/S1198-743X(14)64063-5/fulltext,2003-2024,guideline,,,"MIC variability is explicitly acknowledged as a 1-dilution band; ATU is a categorical warning, not a propagated probability distribution into dose decisions.",,antimicrobial_AST,"Broth MIC tests are reproducible only to within +/- one doubling dilution. EUCAST introduced an ""Area of Technical Uncertainty (ATU)"" for known-difficult organism/agent combinations."
05_stakes,https://www.eucast.org/warning-detail/cefiderocol-eucast-has-evaluated-august-2022-commercially-available-tests-and-all-have-problems-with-accuracy-reproducibility-bias-and-or-for-some-with-skipped-wells/,2022,guideline_warning,,,Reporting flagged at the regulatory level; no formal CI is reported with the S/I/R call to the clinician.,,antimicrobial_AST,"Documented real-world consequence: EUCAST formally warned that commercially available cefiderocol AST tests have ""problems with accuracy, reproducibility, bias and/or skipped wells"", meaning clinical "
05_stakes,https://combase.errc.ars.usda.gov/,2024,software,,,Recent extensions implement bootstrap-based 95% prediction intervals (2.5/97.5 percentile of aggregated bootstrap predictions) - explicit acknowledgement that point predictions are insufficient.,,food_safety_predictive_micro,"ComBase Predictor (USDA/UK/IFR) houses >60,000 records and uses Baranyi as the primary growth model; main outputs are point predictions of N(t)."
05_stakes,https://www.mdpi.com/2304-8158/12/24/4461,2023,review,,,Bias quantified post-hoc; prediction intervals reported but the documented fail-dangerous rate is a direct stakes signal.,,food_safety_predictive_micro,Baranyi model is the de facto primary growth model in HACCP / shelf-life prediction. Lag-time predictions for Listeria in RTE meats showed 7% fail-dangerous bias (i.e. predicted less growth than actua
05_stakes,https://www.efsa.europa.eu/sites/default/files/consultation/150618.pdf ; doi:10.2903/j.efsa.2018.5123,2018,guideline,,,Mandatory for EFSA scientific opinions but reliant on assessor's choice of method; calibration check is not required.,,food_safety_predictive_micro,EFSA Guidance on Uncertainty Analysis in Scientific Assessment: uncertainty must be expressed quantitatively where possible and incorporated in BIOHAZ panel scientific opinions. Variability and uncert
05_stakes,https://www.fao.org/fao-who-codexalimentarius/sh-proxy/ru/?lnk=1&url=https://workspace.fao.org/sites/codex/Standards/CXG+30-1999/CXG_030e_2014.pdf,1999/2014,guideline,,,Required at the international standard level but specific propagation methods left to the assessor.,,food_safety_QMRA,Codex Alimentarius CXG 30: microbiological risk assessment must include uncertainty and sensitivity analysis; growth modelling is an integral exposure-assessment input.
05_stakes,https://www.fda.gov/food/hazard-analysis-critical-control-point-haccp/haccp-principles-application-guidelines,1997,guideline,,,Validation against CIs is explicit; ongoing uncertainty propagation into the safety decision is not built into the guideline.,,food_safety_HACCP,FDA HACCP guidelines: predictive models (including Baranyi-style growth models) can support critical-limit setting; model predictions should be compared against 95% confidence intervals during validat
05_stakes,https://pmp.errc.ars.usda.gov/,2014,software,,,"Outputs include fitted Baranyi/Gompertz parameters and (in IPMP 2013) some confidence intervals; downstream propagation into shelf-life is user-driven, not automatic.",,food_safety_pathogen_modeling,USDA Pathogen Modeling Program (PMP Online) and Integrated Pathogen Modeling Program (IPMP) are USDA-supplied tools for growth-curve fitting in regulatory contexts.
05_stakes,https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2018.5134 ; https://www.ecdc.europa.eu/en/publications-data/prolonged-multi-country-cluster-listeria-monocytogenes-st155-infections ; https://www.sciencedirect.com/science/article/pii/S0362028X2600102X,2018-2024,paper/regulatory,,,Regulator openly admits prediction uncertainty is large enough to make confident shelf-life calls infeasible - direct real-world stakes.,,food_safety_outbreak_evidence,"EFSA states that ""for RTE foods that support L. monocytogenes growth, it is impossible to predict with a high degree of certainty that the level will or will not exceed 100 CFU/g during their shelf li"
05_stakes,https://pmc.ncbi.nlm.nih.gov/articles/PMC3755222/ ; https://pmc.ncbi.nlm.nih.gov/articles/PMC7146123/,2013-2020,paper/review,,,"Growth-rate uncertainty propagated through state estimators (extended Kalman filters, particle filters); some MPC formulations use Monte Carlo on parameter uncertainty.",,industrial_bioprocess,"Soft sensors (off-gas, capacitance, oxygen-uptake-rate) estimate biomass and specific growth rate in real time for fed-batch fermentation including mAb-producing CHO cultures. These estimates feed PID"
05_stakes,https://www.sciencedirect.com/science/article/abs/pii/S0098135424004095,2024,paper,,,Many production deployments operate on point estimates; confidence in the prediction is rarely surfaced to operators.,,industrial_bioprocess,MLOps soft sensors deployed in industrial-scale fed-batch fermentation use ML models that may not propagate parameter uncertainty at all.
05_stakes,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/pat-framework-innovative-pharmaceutical-development-manufacturing-and-quality-assurance,2004,guideline,,,Encouraged at the framework level but with no specific requirement on growth-rate CI calibration.,,industrial_bioprocess_regulatory,FDA PAT framework: process understanding requires characterizing variability in CPPs and KPIs; QbD principles encourage building uncertainty bounds into control strategies.
05_stakes,https://link.springer.com/article/10.1007/BF00369473,1990s,paper,,,Robust control methods exist but adoption in production bioprocess control is uneven.,,industrial_bioprocess,Classic batch-fermentation control under uncertainty literature; modeling parameter uncertainty has been a known issue for >30 years.
05_stakes,https://www.frontiersin.org/journals/manufacturing-technology/articles/10.3389/fmtec.2024.1392038/full,2024,paper,,,"Decisions to abort/discard a batch are based on parameter deviation thresholds, not on calibrated CIs.",,industrial_bioprocess,Golden batch anomaly detection in bioreactor fermentation: deviations from reference parameters trigger root-cause analyses for out-of-trend batches that may be discarded.
05_stakes,https://pmc.ncbi.nlm.nih.gov/articles/PMC8644319/ ; https://accpjournals.onlinelibrary.wiley.com/doi/10.1002/phar.2722,2021-2022,meta_analysis,,,Meta-analyses treat the dosing approach as a binary intervention; do not stratify by calibration quality of the underlying Bayesian models.,,clinical_outcomes_meta,AUC-guided (typically Bayesian) vancomycin TDM associated with lower nephrotoxicity (6.2%) vs trough-guided (17.0%); odds ratio for AKI 0.625.
05_stakes,https://pmc.ncbi.nlm.nih.gov/articles/PMC12708608/ ; https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2025.1575224/full,2025,paper,,,Outcomes assessed at the cohort level; whether individual-patient credible intervals were trustworthy is not separately validated.,,clinical_outcomes,Recent prospective evaluations of Bayesian vancomycin software in pediatric ARC and ICU patients show improved target attainment vs conventional dosing.
05_stakes,https://accp1.org/pdfs/documents/STEP/3_Goutelle-et-al-2022-Parametric-vs-non-parametric-Pop-PK.pdf ; https://pubmed.ncbi.nlm.nih.gov/22722776/,2012-2022,paper,,,Bootstrap-based parameter uncertainty (200 resamples standard). Explicit acknowledgement that parametric CIs can be miscalibrated under non-Gaussian/multimodal parameter distributions.,,nonparametric_methods,"Pmetrics/NPAG and BestDose use nonparametric estimation, designed specifically to detect subpopulations and outliers that parametric methods miss. Argued to improve coverage in misspecified-prior scen"
05_stakes,https://academic.oup.com/jac/article/66/2/227/720360,2011,paper/review,,,"Parameter uncertainty IS propagated via Monte Carlo (typically 10,000 iterations). However, the propagation assumes the parameter posterior is correctly characterized - if covariance matrix is miscalibrated (common, see SIR papers), PTA estimates are biased.",,antimicrobial_PKPD_MCS,"Mouton & Vinks: Monte Carlo simulation maximizes population PK data to optimize antibiotic dosing in critically ill patients. Standard workflow: (1) population PK with parameter covariance, (2) MIC di"
05_stakes,https://pubmed.ncbi.nlm.nih.gov/41313259/,2025,paper,,,Monte Carlo on parameter uncertainty drives the dosing simulation; calibration of CIs underlying the MCS not separately reported.,,antimicrobial_PKPD_piperacillin,Development of pop-PK models of total and free piperacillin in critically ill children for Monte Carlo simulations and MIPD. Direct application of parameter-uncertainty-propagated MCS to dose recommen
05_stakes,https://www.asme.org/codes-standards/find-codes-standards/v-v-40-assessing-credibility-computational-modeling-verification-validation-application-medical-devices,2018,guideline,,,Risk-based credibility framework explicitly ties stakes to required level of validation. Calibration of uncertainty intervals is not separately tested but is part of credibility assessment.,,ich_credibility_v_and_v,"ASME V&V 40-2018 ""Assessing Credibility of Computational Modeling Through Verification and Validation: Application to Medical Devices"" is referenced by ICH M15 draft as the credibility framework. Mode"
05_stakes,https://link.springer.com/article/10.1007/s12393-024-09382-6 ; https://www.sciencedirect.com/science/article/abs/pii/S0168160520303494,2020-2024,review,,,Field acknowledges miscalibration; few empirical coverage studies published.,,predictive_micro_review,30-year review of Baranyi & Roberts model. Documents that bias in growth-rate / lag estimates is the dominant source of error in shelf-life prediction; prediction-interval coverage is rarely validated
05_stakes,https://www.sciencedirect.com/science/article/pii/S0740002012001098,2012,paper,,,Validates point predictions only - does not test whether reported 95% intervals achieve 95% coverage.,,predictive_micro_validation,"Ross's accuracy factor (Af) and bias factor (Bf) are the standard validation metrics in predictive microbiology. EU FBR-EFSA-style ""fail-dangerous"" criterion: model predicts safer than reality."
05_stakes,https://ascpt.onlinelibrary.wiley.com/doi/10.1002/psp4.12422,2019,review/perspective,,,Direct documentation that the dominant pop-PK estimation tool's default uncertainty estimate is unreliable.,,clinical_PK_perspective,"Bauer review on NONMEM 7.4: covariance step failures are routine, especially with sparse data; bootstrap and SIR are workarounds but each can produce different CI widths for the same dataset."
